Year,Month,Group,State,Condition Group,Condition,Age Group,COVID-19 Deaths,Number of Mentions
2020.0,2.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,0.0,0.0
2020.0,6.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,0.0,0.0
2020.0,7.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,41.0,41.0
2020.0,8.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,275.0,275.0
2020.0,9.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,215.0,215.0
2020.0,10.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,157.0,157.0
2020.0,11.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,192.0,192.0
2020.0,12.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,319.0,319.0
2021.0,1.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,623.0,623.0
2021.0,2.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,361.0,361.0
2021.0,3.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,215.0,215.0
2021.0,4.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,198.0,198.0
2021.0,5.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,175.0,175.0
2021.0,6.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,104.0,104.0
2021.0,7.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,269.0,270.0
2021.0,8.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,1351.0,1351.0
2021.0,9.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,1012.0,1012.0
2021.0,10.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,340.0,340.0
2021.0,11.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,118.0,118.0
2021.0,12.0,By Month,Florida,Circulatory diseases,Cardiac arrest,All Ages,100.0,100.0
2020.0,1.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,81.0,81.0
2020.0,5.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,85.0,85.0
2020.0,6.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,100.0,100.0
2020.0,7.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,454.0,457.0
2020.0,8.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,363.0,365.0
2020.0,9.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,146.0,148.0
2020.0,10.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,90.0,93.0
2020.0,11.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,123.0,126.0
2020.0,12.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,233.0,236.0
2021.0,1.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,359.0,366.0
2021.0,2.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,210.0,213.0
2021.0,3.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,125.0,132.0
2021.0,4.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,90.0,96.0
2021.0,5.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,90.0,94.0
2021.0,6.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,58.0,59.0
2021.0,7.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,119.0,120.0
2021.0,8.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,583.0,594.0
2021.0,9.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,495.0,507.0
2021.0,10.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,174.0,177.0
2021.0,11.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,71.0,76.0
2021.0,12.0,By Month,Florida,Circulatory diseases,Cardiac arrhythmia,All Ages,75.0,77.0
2020.0,1.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,35.0,35.0
2020.0,5.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,49.0,49.0
2020.0,6.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,45.0,45.0
2020.0,7.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,239.0,239.0
2020.0,8.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,252.0,252.0
2020.0,9.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,125.0,125.0
2020.0,10.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,85.0,85.0
2020.0,11.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,113.0,113.0
2020.0,12.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,161.0,161.0
2021.0,1.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,328.0,330.0
2021.0,2.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,191.0,192.0
2021.0,3.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,122.0,122.0
2021.0,4.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,81.0,81.0
2021.0,5.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,81.0,81.0
2021.0,6.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,55.0,55.0
2021.0,7.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,113.0,113.0
2021.0,8.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,502.0,502.0
2021.0,9.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,352.0,352.0
2021.0,10.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,128.0,128.0
2021.0,11.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,54.0,54.0
2021.0,12.0,By Month,Florida,Circulatory diseases,Heart failure,All Ages,62.0,62.0
2020.0,1.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,85.0,87.0
2020.0,5.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,82.0,85.0
2020.0,6.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,71.0,73.0
2020.0,7.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,264.0,269.0
2020.0,8.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,308.0,316.0
2020.0,9.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,124.0,131.0
2020.0,10.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,95.0,98.0
2020.0,11.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,100.0,100.0
2020.0,12.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,155.0,159.0
2021.0,1.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,222.0,224.0
2021.0,2.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,144.0,150.0
2021.0,3.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,84.0,86.0
2021.0,4.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,61.0,62.0
2021.0,5.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,50.0,51.0
2021.0,6.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,24.0,24.0
2021.0,7.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,83.0,86.0
2021.0,8.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,390.0,395.0
2021.0,9.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,343.0,360.0
2021.0,10.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,150.0,154.0
2021.0,11.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,42.0,46.0
2021.0,12.0,By Month,Florida,Circulatory diseases,Cerebrovascular diseases,All Ages,48.0,51.0
2020.0,1.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,54.0,58.0
2020.0,5.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,65.0,71.0
2020.0,6.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,60.0,62.0
2020.0,7.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,299.0,333.0
2020.0,8.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,273.0,302.0
2020.0,9.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,132.0,142.0
2020.0,10.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,90.0,100.0
2020.0,11.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,118.0,132.0
2020.0,12.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,208.0,231.0
2021.0,1.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,324.0,359.0
2021.0,2.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,205.0,228.0
2021.0,3.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,127.0,143.0
2021.0,4.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,111.0,128.0
2021.0,5.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,110.0,123.0
2021.0,6.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,62.0,66.0
2021.0,7.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,137.0,145.0
2021.0,8.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,607.0,654.0
2021.0,9.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,611.0,671.0
2021.0,10.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,198.0,217.0
2021.0,11.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,75.0,81.0
2021.0,12.0,By Month,Florida,Circulatory diseases,Other diseases of the circulatory system,All Ages,69.0,74.0
2020.0,1.0,By Month,Florida,Sepsis,Sepsis,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Sepsis,Sepsis,All Ages,0.0,0.0
2020.0,3.0,By Month,Florida,Sepsis,Sepsis,All Ages,0.0,0.0
2020.0,5.0,By Month,Florida,Sepsis,Sepsis,All Ages,22.0,22.0
2020.0,6.0,By Month,Florida,Sepsis,Sepsis,All Ages,27.0,27.0
2020.0,7.0,By Month,Florida,Sepsis,Sepsis,All Ages,88.0,88.0
2020.0,8.0,By Month,Florida,Sepsis,Sepsis,All Ages,336.0,336.0
2020.0,9.0,By Month,Florida,Sepsis,Sepsis,All Ages,283.0,283.0
2020.0,10.0,By Month,Florida,Sepsis,Sepsis,All Ages,183.0,183.0
2020.0,11.0,By Month,Florida,Sepsis,Sepsis,All Ages,210.0,211.0
2020.0,12.0,By Month,Florida,Sepsis,Sepsis,All Ages,348.0,348.0
2021.0,1.0,By Month,Florida,Sepsis,Sepsis,All Ages,555.0,555.0
2021.0,2.0,By Month,Florida,Sepsis,Sepsis,All Ages,425.0,425.0
2021.0,3.0,By Month,Florida,Sepsis,Sepsis,All Ages,272.0,272.0
2021.0,4.0,By Month,Florida,Sepsis,Sepsis,All Ages,196.0,196.0
2021.0,5.0,By Month,Florida,Sepsis,Sepsis,All Ages,208.0,208.0
2021.0,6.0,By Month,Florida,Sepsis,Sepsis,All Ages,140.0,140.0
2021.0,7.0,By Month,Florida,Sepsis,Sepsis,All Ages,244.0,244.0
2021.0,8.0,By Month,Florida,Sepsis,Sepsis,All Ages,1221.0,1221.0
2021.0,9.0,By Month,Florida,Sepsis,Sepsis,All Ages,1064.0,1064.0
2021.0,10.0,By Month,Florida,Sepsis,Sepsis,All Ages,386.0,386.0
2021.0,11.0,By Month,Florida,Sepsis,Sepsis,All Ages,113.0,113.0
2021.0,12.0,By Month,Florida,Sepsis,Sepsis,All Ages,116.0,116.0
2020.0,1.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,0.0,0.0
2020.0,3.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,19.0,21.0
2020.0,4.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,87.0,98.0
2020.0,5.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,66.0,68.0
2020.0,6.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,70.0,73.0
2020.0,7.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,328.0,356.0
2020.0,8.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,250.0,272.0
2020.0,9.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,116.0,127.0
2020.0,10.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,66.0,75.0
2020.0,11.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,111.0,120.0
2020.0,12.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,135.0,153.0
2021.0,1.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,235.0,274.0
2021.0,2.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,136.0,149.0
2021.0,3.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,83.0,99.0
2021.0,4.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,83.0,101.0
2021.0,5.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,77.0,88.0
2021.0,6.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,37.0,37.0
2021.0,7.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,84.0,98.0
2021.0,8.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,382.0,420.0
2021.0,9.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,350.0,414.0
2021.0,10.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,119.0,148.0
2021.0,11.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,55.0,65.0
2021.0,12.0,By Month,Florida,Malignant neoplasms,Malignant neoplasms,All Ages,44.0,57.0
2020.0,1.0,By Month,Florida,Diabetes,Diabetes,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Diabetes,Diabetes,All Ages,0.0,0.0
2020.0,3.0,By Month,Florida,Diabetes,Diabetes,All Ages,51.0,51.0
2020.0,4.0,By Month,Florida,Diabetes,Diabetes,All Ages,471.0,473.0
2020.0,5.0,By Month,Florida,Diabetes,Diabetes,All Ages,364.0,364.0
2020.0,6.0,By Month,Florida,Diabetes,Diabetes,All Ages,368.0,368.0
2020.0,7.0,By Month,Florida,Diabetes,Diabetes,All Ages,1815.0,1818.0
2020.0,8.0,By Month,Florida,Diabetes,Diabetes,All Ages,1326.0,1331.0
2020.0,9.0,By Month,Florida,Diabetes,Diabetes,All Ages,260.0,263.0
2020.0,10.0,By Month,Florida,Diabetes,Diabetes,All Ages,175.0,175.0
2020.0,11.0,By Month,Florida,Diabetes,Diabetes,All Ages,230.0,230.0
2020.0,12.0,By Month,Florida,Diabetes,Diabetes,All Ages,453.0,457.0
2021.0,1.0,By Month,Florida,Diabetes,Diabetes,All Ages,592.0,593.0
2021.0,2.0,By Month,Florida,Diabetes,Diabetes,All Ages,335.0,338.0
2021.0,3.0,By Month,Florida,Diabetes,Diabetes,All Ages,200.0,201.0
2021.0,4.0,By Month,Florida,Diabetes,Diabetes,All Ages,168.0,169.0
2021.0,5.0,By Month,Florida,Diabetes,Diabetes,All Ages,139.0,140.0
2021.0,6.0,By Month,Florida,Diabetes,Diabetes,All Ages,96.0,96.0
2021.0,7.0,By Month,Florida,Diabetes,Diabetes,All Ages,210.0,211.0
2021.0,8.0,By Month,Florida,Diabetes,Diabetes,All Ages,1135.0,1138.0
2021.0,9.0,By Month,Florida,Diabetes,Diabetes,All Ages,852.0,857.0
2021.0,10.0,By Month,Florida,Diabetes,Diabetes,All Ages,266.0,267.0
2021.0,11.0,By Month,Florida,Diabetes,Diabetes,All Ages,105.0,106.0
2021.0,12.0,By Month,Florida,Diabetes,Diabetes,All Ages,86.0,86.0
2020.0,1.0,By Month,Florida,Obesity,Obesity,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Obesity,Obesity,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Obesity,Obesity,All Ages,97.0,97.0
2020.0,5.0,By Month,Florida,Obesity,Obesity,All Ages,74.0,74.0
2020.0,6.0,By Month,Florida,Obesity,Obesity,All Ages,98.0,98.0
2020.0,7.0,By Month,Florida,Obesity,Obesity,All Ages,553.0,554.0
2020.0,8.0,By Month,Florida,Obesity,Obesity,All Ages,354.0,354.0
2020.0,9.0,By Month,Florida,Obesity,Obesity,All Ages,75.0,75.0
2020.0,10.0,By Month,Florida,Obesity,Obesity,All Ages,61.0,61.0
2020.0,11.0,By Month,Florida,Obesity,Obesity,All Ages,66.0,66.0
2020.0,12.0,By Month,Florida,Obesity,Obesity,All Ages,137.0,137.0
2021.0,1.0,By Month,Florida,Obesity,Obesity,All Ages,145.0,145.0
2021.0,2.0,By Month,Florida,Obesity,Obesity,All Ages,99.0,99.0
2021.0,3.0,By Month,Florida,Obesity,Obesity,All Ages,67.0,67.0
2021.0,4.0,By Month,Florida,Obesity,Obesity,All Ages,69.0,69.0
2021.0,5.0,By Month,Florida,Obesity,Obesity,All Ages,71.0,71.0
2021.0,6.0,By Month,Florida,Obesity,Obesity,All Ages,38.0,38.0
2021.0,7.0,By Month,Florida,Obesity,Obesity,All Ages,128.0,128.0
2021.0,8.0,By Month,Florida,Obesity,Obesity,All Ages,646.0,650.0
2021.0,9.0,By Month,Florida,Obesity,Obesity,All Ages,459.0,460.0
2021.0,10.0,By Month,Florida,Obesity,Obesity,All Ages,121.0,121.0
2021.0,11.0,By Month,Florida,Obesity,Obesity,All Ages,41.0,42.0
2021.0,12.0,By Month,Florida,Obesity,Obesity,All Ages,37.0,37.0
2020.0,1.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,27.0,28.0
2020.0,5.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,56.0,58.0
2020.0,6.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,62.0,62.0
2020.0,7.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,168.0,169.0
2020.0,8.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,163.0,165.0
2020.0,9.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,55.0,55.0
2020.0,10.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,34.0,34.0
2020.0,11.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,35.0,35.0
2020.0,12.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,66.0,66.0
2021.0,1.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,110.0,111.0
2021.0,2.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,54.0,54.0
2021.0,3.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,21.0,22.0
2021.0,4.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,21.0,21.0
2021.0,5.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,13.0,13.0
2021.0,6.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,12.0,12.0
2021.0,7.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,28.0,28.0
2021.0,8.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,97.0,98.0
2021.0,9.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,87.0,87.0
2021.0,10.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,26.0,26.0
2021.0,11.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,12.0,12.0
2021.0,12.0,By Month,Florida,Alzheimer disease,Alzheimer disease,All Ages,14.0,14.0
2020.0,1.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,196.0,196.0
2020.0,5.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,305.0,306.0
2020.0,6.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,283.0,283.0
2020.0,7.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,975.0,975.0
2020.0,8.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,805.0,805.0
2020.0,9.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,199.0,199.0
2020.0,10.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,134.0,136.0
2020.0,11.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,141.0,141.0
2020.0,12.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,244.0,244.0
2021.0,1.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,361.0,361.0
2021.0,2.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,181.0,182.0
2021.0,3.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,93.0,93.0
2021.0,4.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,59.0,59.0
2021.0,5.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,52.0,52.0
2021.0,6.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,38.0,38.0
2021.0,7.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,81.0,81.0
2021.0,8.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,399.0,399.0
2021.0,9.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,314.0,315.0
2021.0,10.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,118.0,119.0
2021.0,11.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,38.0,38.0
2021.0,12.0,By Month,Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,52.0,53.0
2020.0,1.0,By Month,Florida,Renal failure,Renal failure,All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,Renal failure,Renal failure,All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,Renal failure,Renal failure,All Ages,19.0,19.0
2020.0,5.0,By Month,Florida,Renal failure,Renal failure,All Ages,35.0,35.0
2020.0,6.0,By Month,Florida,Renal failure,Renal failure,All Ages,30.0,31.0
2020.0,7.0,By Month,Florida,Renal failure,Renal failure,All Ages,126.0,127.0
2020.0,8.0,By Month,Florida,Renal failure,Renal failure,All Ages,265.0,274.0
2020.0,9.0,By Month,Florida,Renal failure,Renal failure,All Ages,168.0,173.0
2020.0,10.0,By Month,Florida,Renal failure,Renal failure,All Ages,141.0,146.0
2020.0,11.0,By Month,Florida,Renal failure,Renal failure,All Ages,165.0,171.0
2020.0,12.0,By Month,Florida,Renal failure,Renal failure,All Ages,295.0,303.0
2021.0,1.0,By Month,Florida,Renal failure,Renal failure,All Ages,527.0,557.0
2021.0,2.0,By Month,Florida,Renal failure,Renal failure,All Ages,340.0,353.0
2021.0,3.0,By Month,Florida,Renal failure,Renal failure,All Ages,193.0,200.0
2021.0,4.0,By Month,Florida,Renal failure,Renal failure,All Ages,169.0,174.0
2021.0,5.0,By Month,Florida,Renal failure,Renal failure,All Ages,141.0,150.0
2021.0,6.0,By Month,Florida,Renal failure,Renal failure,All Ages,107.0,109.0
2021.0,7.0,By Month,Florida,Renal failure,Renal failure,All Ages,203.0,209.0
2021.0,8.0,By Month,Florida,Renal failure,Renal failure,All Ages,1121.0,1166.0
2021.0,9.0,By Month,Florida,Renal failure,Renal failure,All Ages,914.0,958.0
2021.0,10.0,By Month,Florida,Renal failure,Renal failure,All Ages,297.0,304.0
2021.0,11.0,By Month,Florida,Renal failure,Renal failure,All Ages,95.0,97.0
2021.0,12.0,By Month,Florida,Renal failure,Renal failure,All Ages,94.0,98.0
2020.0,1.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,0.0,0.0
2020.0,2.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,0.0,0.0
2020.0,4.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,33.0,74.0
2020.0,5.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,36.0,82.0
2020.0,6.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,39.0,91.0
2020.0,7.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,137.0,298.0
2020.0,8.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,101.0,226.0
2020.0,9.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,44.0,91.0
2020.0,10.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,35.0,74.0
2020.0,11.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,34.0,69.0
2020.0,12.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,67.0,140.0
2021.0,1.0,By Month,Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,106.0,207.0
